CSD_ID,name,smiles,set
UWEQUL,HOF-TAM-BDA,O=Cc1ccc(nc1)c1ccc(C=Nc2ccc(cc2)C(c2ccc(cc2)N=Cc2ccc(nc2)c2ccc(C=O)cn2)(c2ccc(cc2)N=Cc2ccc(nc2)c2ccc(C=O)cn2)c2ccc(cc2)N=Cc2ccc(nc2)c2ccc(C=O)cn2)cn1,flexible
COWZIA,HOF-102,OC(=O)c1ccc2cc(ccc2c1)c1cc(c2ccc3cc(ccc3c2)C(O)=O)c2ccc3c(cc(c4ccc5cc(ccc5c4)C(O)=O)c4ccc1c2c34)c1ccc2cc(ccc2c1)C(O)=O,flexible
QUXHAW,,COc1ccc(cc1)C(C(C=C)c1ccc(cc1)C(F)(F)F)c1ccccc1,flexible
CUYGEM,,CC(C)C1=NNc2cccc(OCC(=O)NCc3ccccn3)c12,flexible
YUYLAJ,,OC(CCCC1=Nc2ccccc2S1)c1ccc(Br)cc1,flexible
DABHIC,,CCOC(=O)CN(c1ccncc1)c1ccc(OC)cc1,flexible
HUWPUO,,O=C(Nc1cccnc1)c1cc(cc(c1)N(=O)=O)N(=O)=O,flexible
QURBEO,,COc1ccccc1C(=O)NC1CCCCC1N(C)C,flexible
QUTZUE,,CCOC(=O)C1C2=C(c3ccccc3N2S(=O)(=O)c2ccc(C)cc2)C2=C1c1ccccc1N(Cc1ccccc1)C2=O,flexible
MUSXUX,,O=Cc1ccc(cc1)C1=CN(c2ccccc2)c2ncnc(c3ccc(C=O)cc3)c12,flexible
CABFIZ,,OC1C(CCC1Cc1ccccc1)Cc1ccccc1,flexible
MUSYAE,,O=Cc1ccc(cc1)c1nc2C=CN(c3ccccc3)c2c(n1)c1ccc(C=O)cc1,flexible
CAFHUR,,CC(C)C1CCC(C)CC1OC(=O)Oc1ccc2cc(C=C)ccc2c1,flexible
CUYVUR,,CC1CCC(Br)C2(CCC(=O)O2)C1(C)CC(C)=O.CC1CCC(Br)C2(CCC(=O)O2)C1(C)CC(C)=O,flexible
JABXIY,,O=C1CCC(CC1Oc1nc(nc2ccccc12)c1ccccc1)c1ccccc1,flexible
CUYWAY,,CC1CC(O)C=C2CCC(OC(C)=O)C(C(C)=COC(C)=O)C12C.CC1CC(O)C=C2CCC(OC(C)=O)C(C(C)=COC(C)=O)C12C,flexible
QURPUS,,OCC1(CO)CC2C(C1)C(=C)CN2OCc1ccccc1,flexible
FACDOH,,COc1ccc(cc1Br)c1cc(nc(OCC#N)c1C#N)C1=C(Cl)SC(=C1)Cl,flexible
CUWLIT,,O=N(=O)c1cc2OCOc2cc1C=NNC(=S)N1CC=CC1,flexible
CAFHEB,,O=C(CN1C=CC=C1C1NC(=O)c2ccccc2N1)c1ccccc1,flexible
RUSXEM,,Brc1c(Br)c(Br)c2[O-][Co]345(Oc6ccccc6C=N3CCCN4=Cc3ccccc3O5)Oc2c1Br.CC[NH+](CC)CC,flexible
FUVLAN,,Cc1ccc(cc1C)C(=O)C=CC=CC(=O)c1ccc(C)c(C)c1,flexible
BUYWUR,,CCCCN1c2ccc3ccc4N(CCCC)c5ccc6ccc1c1c6c5c4c3c21,flexible
DUVCOQ,,CCOC(=O)C1=C2Sc3ccccc3C(=O)N2C(=C1)c1ccc(C)cc1.CCOC(=O)C1=C2Sc3ccccc3C(=O)N2C(=C1)c1ccc(C)cc1,flexible
DUZTOL,,O=C(CC1SC(=S)N(C1=O)c1ccccc1)Nc1ccccc1,flexible
RUWFAU,,COc1cccc(CN2C(=O)CC(c3ccccc3)C2(O)c2ccccc2)c1,flexible
HUTDOT,,CSc1ccc(cc1)N=CC1=CSc2ccccc12.CSc1ccc(cc1)N=CC1=CSc2ccccc12,flexible
VUZQUG,,Oc1ccc(cc1)C1=NOC(=N1)CN1c2ccccc2C=C1c1ccc(Cl)cc1,flexible
HUTKOA,,O=CC=C(c1ccccc1)c1ccc(c(C=O)c1)c1ccccc1,flexible
MUYRIL,,CC1=C2CCCCC2=C(N1c1cccc2ccccc12)c1ccc(Cl)c(Cl)c1.CC1=C2CCCCC2=C(N1c1cccc2ccccc12)c1ccc(Cl)c(Cl)c1,flexible
QUSQAA,,Fc1ccc(cc1)C1=CC(=C(S1)C1=C(C=C(S1)c1ccc(F)cc1)c1ccc(F)cc1)c1ccc(F)cc1,flexible
MURQUP,,COC(=O)c1cc(OC)c2OCOc2c1c1c(CO)cc(OC)c2OCOc12,flexible
RUTJUP,,CCOC(=O)c1nc2ccccc2cc1C(=O)c1ccccc1,flexible
MUSTIH,,COc1ccc2c(CCC3C(c4ccc(OC)cc4C23C)c2c(OC)cc(OC)cc2OC)c1,flexible
YABFAN,,c1ccc(cc1)C(c1ccncc1)(c1cncnc1)c1ncccn1,flexible
MUZKOL,,CC1=NN(C(=C1)C)C(=O)C1(CC(C1)(C(=O)c1ccc(Cl)cc1)c1ccccc1)C(F)(F)F,flexible
HABMUX,,FC(F)(F)C(OC(=Nc1ccccc1CC=O)c1ccc(cc1)C#N)C(F)(F)F,flexible
OBEQUJ,XVI,[N-]=[N+]=C1C=CC=CC1=O,comp5
OBEQOD,XVII,Clc1c(Cl)cc([N+]([O-])=O)c([N+]([O-])=O)c1,comp5
OBEQET,XVIII,CC(C(S(=O)(c1ccc(Cl)cc1)=O)=[N+]=[N-])=O,comp5
OBEQIX,XX,Cc1ccc(cc1)S(=O)(=O)C1=C(C)N=C(S1)c1ccc(NC(=O)OCc2ccccc2)cc1,comp5
XATJOT,XIX,[nH+]1cccc2cccnc12.OC(=O)C=CC(=O)[O-],comp5
KONTIQ;KONTIQ01;KONTIQ03;KONTIQ04,XXI,O.OC(=O)c1cc(O)c(O)c(O)c1,comp5
NACJAF,XXII,N#CC1=C2SC(=C(SC2=NS1)C#N)C#N,comp6
XAFPAY;XAFPAY01;XAFPAY02;XAFPAY03;XAFPAY04,XXIII,OC(=O)c1ccccc1Nc1ccc(CCc2ccc(Cl)c(Cl)c2)cc1,comp6
XAFQIH,XXVI,Clc1ccccc1C(=O)Nc1ccc2ccccc2c1c1c(NC(=O)c2ccccc2Cl)ccc2ccccc12,comp6
XAFQON,XXIV,[Cl-].NC(=[NH2+])SC=CC(O)=O.O,comp6
XAFQAZ01,XXV,OC(c1cc([N+]([O-])=O)cc([N+]([O-])=O)c1)=O.Cc2cc3c(N4CN(c5c(C4)cc(C)cc5)C3)cc2,comp6
XIFZOF01,XXVII,CC(C)[Si](C#Cc1c2cc3ccccc3cc2c(C#C[Si](C(C)C)(C(C)C)C(C)C)c2cc3cc(I)c(I)cc3cc12)(C(C)C)C(C)C,comp7
OJIGOG01,XXVIII,Cl[Cu](Cl)([NH]=C(c1ccccc1)c1ccccc1)[NH]=C(c1ccccc1)c1ccccc1,comp7
FASMEV,XXIX,COC(=O)c1ccccc1N,comp7
ZEHFUR;ZEHFUR01;ZEHFUR02,XXXI,CC1(C)CC(=NO1)S(=O)(=O)C(F)(F)c1ccccc1F,comp7
JEKVII;JEKVII01,XXXII,CSc1ccc(OC(F)F)c(c1)C1=NN(CC(=O)N2CCC(CC2)N2CCOCC2)C=C1NC(=O)C1=C2N=CC=CN2N=C1,comp7
MIVZEA,XXX_2:1,Cc1nc(C)c(C)nc1C.CCCCCc1cc(O)c2c(OC(C)(C)c3ccc(C)cc23)c1.CCCCCc1cc(O)c2c(OC(C)(C)c3ccc(C)cc23)c1,comp7
MIVZIE,XXX_1:1,CCCCCc1cc(O)c2c(OC(C)(C)c3ccc(C)cc23)c1.Cc1nc(C)c(C)nc1C,comp7
ZEGWAN;ZEGWAN01,XXXIII,CC1=CC(=NO1)[N-]S(=O)(=O)c1ccc(N)cc1.[NH2+]1CCOCC1,comp7
